reviews.rating,reviews.text,reviews.title
1,"Nothing but problems after a month. Luckily I could take it back and get a credit for the kindle to put towards an ipad. It started off working fine then after a month it started losing internet connection randomly (while the old ipad had no problems). Then it stopped charging, never got past 1%. Tried different outlets, different android chargers. Nothing. Worthless",horrible
1,"was cheap, can not run chrome stuff, returned to store.","was cheap, can not run chrome stuff, returned"
1,"I bought this to replace a 3-year old Kindle Fire 7"" HDX that I had just dropped on the floor. I sort of panicked, so after doing a couple of hours of research I picked this tablet. Just to be on the safe side I got 16 additional GB of memory. I installed a couple of games (none of them memory hogs) and a cookbook app, in addition to downloading a couple of books and dictionaries. I can honestly say this is the slowest tablet I've ever had. Just rotating the screen takes 7-10 seconds, and that's if there's only one app open. Opening a book or magazine can take half a minute, and God help you if you want to switch between a recipe and a magazine while you're cooking! Amazon is obviously more concerned about showing you constant special offers and apps than having satisfied customers. Since there are no other Fire tablets available for whatever reason (maybe they're being discontinued?) I'll be replacing it with either an iPad or a Galaxy tablet.",Couldn't possibly hate it more.
1,Prior to using the device I decided to recharge it to 100% and was shocked to find out that it takes 6 hours. Unless you have a lot of time don't buy this device.,Poor charging
1,This is not an upgrade by any means! My three year old kindle outperformed Oasis.Battery life better than a week with the lights on lowest setting Magnetic connector is poorly designed and grows weak Two pieces to keep up with; unsnaps constantly Amazon Customer Services promises it will resolved in an update,Horrible Battery Life
1,I bought this because I have ebooks in college. Not only could I not get my ebook. I called the school IT department. They could not either. My semester was already started. The sales representative at the store told me this is what I needed. I ended up buying a tablet from my phone carrier and my ebooks were right there in less than 5 minutes with the schools IT department help.,Terrible
1,I had to return this product as it was not compatible with things such as Facebook and Itunes... which is what I needed it for. Great if you are into books and streaming movies!,Not so good!
1,"The last 2 models of Kindle HDX 8 have been terrible. We have purchased 2 of each model of Kindle and up until the last 2 models, they have been great. Last years had to be replaced 7 or 8 times and for the same problem. The slot for the SD card is defective. I gave up and bought the newest model. It shuts completely down if you try to plug it in to external speakers and sometimes it shuts down for no reason. It's going back after the first of the year. This is going to be my last year for Kindles unless they make them the same quality as before. Phooey!",Not impressed with the last 2 Kindles.
1,"Bought this mostly as a backup.and to read a few books, since I have a larger cell phone and a back up. Used it occasionally may 40 or 50 hours of use till this week when I sent my laptop in for repairs. so I probably used it a tot this week. I was watching my 3rd Primetime video this week and it simply turned off. It will not turn on using any power trick such as safe mode. It is gone, It is toast. Bought it October 11, 2016 , It quit on February 9, 2015. My old Fire lasted 4 or 5 years with more use. it had stereo speakers, lasted a week on a charge not 2 or 3 days.Sturdier built. This is full of junk, I am not just offered more apps, it is constantly trying to add them. JUNK JUNK JUNK","less than 120 days, about 100 use. It is toast!"
1,Dont have option for password ask you before buying apps once you authorized as allow its done.Not as many free good apps Like apple have it,Not really statisfied with features
1,Most buyers will have a phone or other charger that will work so you probably don't need to buy this.,Do you need it
1,cheap - need to constantly make sure plugged in - slightly too small - saved some bucks there - not amazon quality,cheap - poor fit in socket
1,"If you actually paid 20 for this adapter, you're out of your mind.","Way, way, way overpriced"
1,"This is the THIRD power charger that I have HAD to buy at cost of over 30 each since my Kindle Fire purchase. Why can't the chargers last a REASONABLE amount of time When I connected this charger, I received a message saying that it was a LOW level charger it probably would not charge while the Kindle was in use. NOT ACCEPTABLE for this cost!!!",Only lasts for less than 1 year!
1,I wish this came in white to match my Kindle Paperwhite,One Star
1,Really expected a chord with it for the price we paid. Very dissapointed.,One Star
1,Not compatible with South African plug standards. Bought this unnecessarily.,Bought this unnecessarily.
1,It wasn't what I thought it was the price was too much for what I got Very disappointed,... was too much for what I got Very disappointed
1,"I had to buy it, what else is there to say.",One Star
1,5 dollar AC to USB power adapter for 20 buck,5 dollar AC to USB power adapter for 20 buck
1,doesnt do me any good without a cord to go with it,One Star
1,Waste of money,One Star
1,My adaptor doesn't work. Maybe I'm doing something wrong but there are no instructions. It looks pretty simple. So it just simply doesn't work.,It DOESN'T Work
1,I don't know why this wouldn't be included with the kindle. It's like selling an appliance without all the parts,It's like selling an appliance without all the
1,Over Priced due to the cost of Kindle at 289.00. Should come with Kindle.,One Star
1,this is way over priced,One Star
1,Exactly what I expected!,One Star
1,Pretty dumb that you have to.buy a charger port,One Star
1,"Too expensive. Should be included, at no extra cost, with the Kindle.","Too expensive. Should be included, at no extra ..."
1,My old kindle charger works fine - that wasn't clear when I bought a new kindle white. And now you want to charge me 6.95 to send it back. Forget it!! I'll keep the extra charger,A charge to return!!
1,This is honestly a little expensive. And I can find other ways to charge my devices.,Unnecessary
1,A waste of money. You don't need this. Just plug your tablet into your computer and the charge lasts for a month.,A waste of money
1,Do not pay attention to their ad. It says the plug is not included with the kindle and it absolutely is. If they lie about this sort of thing what else do you think the lie about. Steer clear these guys are rip off artist.,Stay away. It is included.
1,"Just got home and found the packet is empty, there is no product we ordered in it. What do we do now","Just got home and found the packet is empty, ..."
1,feel it should have come with paperwhite kindle and that I should not have had to buy it,One Star
1,Whats the point of this without the cable to charge!,Stupid purchase
1,The charger won't stay securely connected to the Paperwhite and wiggles. It will only charge when held at a particular angle.,Unreliable hardware
1,Am used to Kindle Fire which I love. No light to read by in the dark. Hard to navigate. This was a gift - would never purchase on my own.,HATE IT!!!!!
1,This device is OK for reading or listening to audiobooks via Overdrive app. Wouldn't recommend it though really. Waited to buy Kindle for years. Would suggest doing research before buying this device.,Extremely slow
1,Not Kid friendly at all. Purchased for little nephew. Wasn't given any info on it for sales person either. Took back!!!,Terrible
1,Screen was cracked but the package did arrive earlier than expected,Arrived broken
1,Purchased two of these tablets. Both of them had 4-7 dead pixels all over the screen. Read a lot of online reviews which stated same problem. The screen/resolution is pretty bad but what can you expect for $50.,Ok tablet I must have got 2 bad ones
1,I don't like this tablet as Android is not working well,this is my worst purchase
1,I can't get my tablet to set the time so I haven't been able to even use it a little disappointed with this purchase no instructions came with it!!,Wish it had instructions
1,"It wouldn't connect to internet. Tried at home, at a couple of Wi-Fi spots and at the store where I bought it.",Nice but No
1,Bad performance. Slow device. Not worth buying. Better products are available in this range.,Rishav
1,I bought this for my daughter during the holidays and after four months of use it would no longer would charge. I tried other charges as well and it's definitely the tablet. Now I have to go through the hassle of seeing if I can still replace it under warranty.,Didn't last
1,"I bought this for my 8 yr old niece, she loves it. Also bought a screen shield & a 'kid proof' case. However, neither stopped the screen from cracking the first time she dropped it. At least it was only $50 :/My nephew has an 1st gen iPad Air, w a kid case; he's dropped it many times, the screen is fine. You get what you pay for.",Screen cracked on 1st drop
1,This tablet has little cpu power and is really only made to work with the Amazon Prime crowd. Not what I was looking for.,Only buy if a Amazon person.
1,"The item was on sale over the Christmas period at a great price. Took it home and when I charged it up, the back of the tablet became very hot to the touch and the battery life reduced dramatically. Left it alone, tried it again, this time no issues. Four days later, it did the same thing when I was charging it up again. Sent it back for a refund.","Great price, bad first experience"
1,I regretted buying this item.I will never recommend this to anyone,Really bad
1,"Got this during Christmas rush and didn't think much of it since it was slightly open. (They had none in stock and needed 4 of them for all my children ) upon opening item , one had a small crack (bearly noticeable ). Increased useage of item cause the screen to spider web... tried to return but no help with management .... store at fountains in El Paso Texas . So I have 3 perfect kindles and one cracked .... very disappointed 1 star",Open item
1,"I got this tablet for Christmas and only used it for one day. The next day I could not use it, it keep glitching. When I got it, the box was opened and it had an inspect sticker on the box, I guess that is what Best Buy does. I think someone switched it out. I took it back to Best Buy to see if someone could fix it and they said it would be $200 to fix or call Amazon. Why would I pay $200 to fix a tablet that was $40. Amazon is replacing my defected one for free after many attempts to fix it.",Horrible
1,"can not down load any apps from goggle play, didn't know amazon and goggle don't have agreements to sharge",Disappointed
1,"purchased it tonight, time is wrong, you cannot change time manually because it has to have wifi to update the time.....AND IT WON'T CONNECT TO ANY WIFI THAT NEEDS A PASSCODE OR PASSWORD BECAUSE IT HAS TO HAVE CORRECT TIME!!!!!!! THIS IS 2016 TECHNOLOGY AMAZON? I've had many devices, but none that make you find a WIFI without a password (hard to do because starbucks, hotels, etc. all need you to click to agree to their terms for wifi...) all because the time cannot be changed without wifi!!!Returning it tomorrow!!!!!P.S. ALSO AN ISSUE ON THE AMAZON FORUMS, SO I AM NOT THE ONLY ONE DEALING WITH THIS!","beware the ""incorrect time"" problem ...going back"
1,"I purchased this for my son thinking it would be a good beginner tablet. I was so wrong. I couldn't even get it set up for him to use it. Before you comment that it may be the user, I have set up every electronic device I have purchased for myself or my children (compters, cell phones, lap tops, game systems) This tablet would not connect to wifi. I even took it across town thinking it could try that but still nothing. Maybe it was defaulty equipment. I sat right beside him and had perfect wifi. My other son sat right beside him had perfect Wifi.",Poorqualty
1,This device would be the best possible tablet for the money if it had Google Play. However Amazon chose to block access to it. This took their well made tablet with a beautiful screen and great performance from an amazing value to a waste of money. This is my last amazon branded product.If you use a lot of apps or want specific apps shop for another device.,5 star device crippled by amazon
1,I got 6 of them they didn't have google plus me no like,it did work
1,Great tablet for kids but the screen isn't as strong. Charging port is very poorly built,Fire
1,Charge the device and was able to set up everything and when I came back to use it it would not work,Does not work
1,I love using it to read and surf the internet. It is also very handy.,A great tool to use to read and surf the internet.
1,"I totally love the Kindle Fire tablets purchased for my grandkids. My sister purchased one in our hometown for my mother. She is equally happy. My granddaughter and grandson spend their wind down time in the evening on the tablets playing their favorite games. In addition, they want a dog and conduct research for the type of dog that the would like. Overall, the tablets are easy to use and provides technology for them when they visit every other weekend. I am pleased.",Great for my grandkids and mother.
1,"Unfortunately, the first time I plugged the Tablet in to charge it up, the battery overheated and shorted out the tablet. I returned it to Best Buy for a full refund with no hassles.",Battery malfunction
1,"it didn't work I had to return it after Christmas and buy something else, made for a wonderful Christmas mourning","it didn,t work had to be returned"
1,"Slow, advertisement plagued. Save and spend money on something better.",Not worth it
1,"This tablet disappointed me from the beginning. I loved my previous Fire tablet. However, this new one disappointed me from get go. I do not want it to tell me what I like or want! I do not like ads that pop up, I do not want suggestions for me on books, movies or anything else. I know what I like! I definitely do not want it talking to me! In this day and age, with identity theft prevalent, I would like to be able to have apps without having to turn on features like location, etc.. All in all, I am ready to bust it up and throw it away!",Very Disappointed!
1,"The first time I buy my first tablet it came on but it only showed that it needed to reeboot, it then shut off by its self.",Didn't work first time powered on
1,Will never buy a amazon tablet for games again it dosent have Google play and the games take forever to download!!!,Not a good tablet for games
1,"Very low quality tablet. It lags on games. But what do you expect for $50? However, you can still do most things you'd expect to do with a tablet.",Get what you pay for
1,i have bought at least 6 people this kindle it is perfect......,love amazon kindle
1,"After only 4 days, the device would not charge. It was plugged in each evening and on the 4th day, it was at 7% after being plugged in all night. This was our second Amazon Fire Tablet, the first one stopped charging in month 13, right after the manufacturer's warranty expired. Decided to get another one because it was a great deal, but sadly I've learned you don't even get what you pay for with this tablet.",Tablet won't charge
1,Didn't like it. To many pop up ALL THE TIME. Don't recommend at all,Crazy pop ups
1,"Bought this for my nephew. The price is right, however, the tablet is terrible. Spend the money and get an iPad.","Price is right, product isn't"
1,I do not like the layout. I want to remove stuff from the screen and can't . I don't like some of the lock out features like playing songs for the kids. i do not like all the advertisements. I don't like the screen doesn't go dark when i want it to such as when music is playing. I liked the samsung,i do not like the fire
1,"From the minute you turn it on there's advertising. The OS is very different from a standard tablet OS - I couldn't get an app that I wanted from the Google Play Store - it just wouldn't work on this. As I said before, I found the amount of advertising just ridiculous.",Tons of advertising
1,Honestly the worst tablet ever owned. Was very slow and unreliable would switch off,Kindle tablet
1,"I read reviews before making a decision for my purchase, but ended up returning the device as I was expecting an experience like that of an Android tablet.",Did not meet expectations
1,I don't have wi fi. so I can't use the device. I'm returning it. I wanted something that my father could use as an e reader. I thought I would be able to download books via my computer using the usb cable. You can't do this unless you are registered. You cannot register unless you have wi fi. Amazon needs to fix this. This is a major flaw.,Must have wi fi
1,Didn't know you had to buy space and many other things for this item to work.,REQUIRES BUYING many things including space
1,"It's very appealing for the price, but know in advance that the warranty is only 90 days... I did not. So when my sons device stopped charging due to a lose charging port a little over 2 months after he got it, I didn't rush to call. I have been taking care of seriously ill family members so I put customer service on the bottom of my list of priorities since I thought I had time,,, especially knowing that these types of calls can sometimes take hours which I didn't have. Today my son was home sick, so I had the day to do the things at the bottom of my list so I called Amazon. 52 minutes later, after doing all their trouble shooting steps THREE times and being disconnected once, she decided to tell me that my warranty was only for 90 days but she would be happy to help me buy one for only $49.99........ Ok. After I calmly explained to he that that was full price and I wasn't about to spend that again on a device that barely made it two months, she put me on hold and 5 minutes later she told me that they would generously give me $10 off my next purchase.Moral of the story, know before you buy & if you still buy, call the minute the thing breaks, even if that means your mom will be an hour late for chemo I guess.Also, during my 45 minute search for who to call about the defect (since it wasn't on the box) I found the Amazon support number on a thread with at least 200 other people talking about their defective charging ports. Keep that in mind.If $50 is something you can spend every 2 months, it might be worth it????",Understand Warranty before throwing out $50
2,I bought it for college textbooks but took it back because it didn't work for this particular device.,Didn't do textbooks!
2,"While reading might be a bit easier on the Paperwhite, navigating on it drove me nuts. The touch screen is annoying and has limited functionality. I tried to like it. I just couldn't. It's sitting unused while I use a less expensive Fire.",Replaced with Kindle Fire
2,"Still adjusting...had kindle fire and liked the ease of touch for turning pages, definitions and location in book. Paper weight is Much more difficult to maneuver, doesn't seem to be as touch sensitive as the fire. I have to repeatedly touch screen to get page to turn and definition accessibility also takes more work. Also, bookmarking doesn't seem to stay on page.","ok, light weight but like old kindle fire better"
2,Don't buy this if u don't read books also very rarely read the book,If u r seriously a book lover
2,"It will not charge in USB on computer, have to take it in.",wont charge
2,very difficult to operate this if having problems knowing how to get to the instructions. Should have some computer knowledge prior to purchase.,needs better instructions
2,"The Voyage, when it worked, was great - the page turns make the reading experience seamless and the ink is crisp, making it a real upgrade from the Paperwhite. That said, it started to freeze up quickly after I got it. Hopefully this is a software issue that will be resolved soon (and the price of early adoption, sometimes), because overall, I couldn't be more pleased with the (working) Voyage.","Great at first, but glitched quickly."
2,"I accidentally cracked my screen on the first day when the Voyage was too close to my rocking chair and neither Best Buy nor Amazon would do anything to help. Well, Amazon offered $15 off purchasing the Paperwhite and that wasn't something I wanted at all. Now I'm stuck with a $199 broken Voyage. Not a happy customer. I realize it was my fault but thought they should do something more to minimize the loss and keep my business.",Be careful with your Voyage
2,i cant at night it has no back light from one to ten its a 7,cant reed at night
2,"Bought Amazon Fire TV 2/16/15, this is NOT the replacement cord for my model.Be aware of what you are purchasing --- this is NOT a fit for the older Fire models.Alternate, non Amazon, power cords are available for the older version of Fire TV on Amazon.",NOT for First Generation Fire TV One person found this helpful. Was this review helpful to you Yes No
2,This tablet could be so much better if the apps actually worked decently. The built in Amazon pieces for Prime members is great and work flawlessly. But it's not enough to overcome the terrible app behavior and countless freezes. They need to take a lesson or two from Apple.,Just ok
2,Still not able to connect to wifi so I am unable to give a recommendation.,Can't connect to wifi
2,It is ok but I like my bigger screen one but it broke in less than two years,It is small and you did not have bigger screen
2,The tablet periodically shuts off for no reason. I have contacted Amazon but their only suggestion was to reset to factory default.,An ok tablet
2,"Full disclosure, I've only had iPads in the past. I needed an android based tablet as a 3rd party app that I needed was yet IOS supported. You get what you pay for. Build quality, touch and feel, yes it's equal to the price. Constant adds urging you to make various Amazon based purchases...not my cup of tea but I guess fills a price point and need.",You get what you pay for...
2,I bought this thing refurbished. I find that I have to unplug / plug back in the HDMI cable on a regular basis when switching inputs on the TV. Not sure if it is the Amazon Fire box itself or if it is the TV (Not likely).Otherwise it is a good device. I bought it for the ability to hard wire my Ethernet connection to my gigabit switch and for 4K capabilities which it does do. Having the Alexa app is handy but her features can be severely handicapped.I probably should have just bought it new..... usually refurbished devices work well as they are tested before resale and it was probably tough to catch that the HDMI port on these might be finicky. I may have to switch it out.,Refurbished version is giving me problems with HDMI connector. Otherwise it's a good device. Careful with refurb!
2,"This Amazon Fire is fine for just reading and minimal research and investigative work. Apart from e-reading, it is slow and unresponsive.","A Reader, Yes -- A Tablet, No"
2,The thing broke within the first week. The charging port was bent and it wouldn't charge.,Junk
2,"This tablet conked out on me the first day I powered it on. The Amazon symbol came up and never went past that screen. I was highly annoyed because I purchased it as a first to send it out of the country. My biggest mistake was trusting that everything would work fine, instead I should've powered on the device to ensure everything was fine.",Room for improvement
2,"My kids use it for playing games only. Memory is too limited. If you want to expand memory you have to buy special memory card from Amazon. Regular cards won't work. I'll like the app free time to help protect the kids from what they watch and play but it is difficult and time consuming to get updates for the games they play. Amazon does not have the best user friendly software for their tablets. They do what we get it for, entertain the kids for awhile.",Don't like it much.
2,"I bought this to use only one application. Oh, is it most difficult to get this thing to continuously work! And I still can't get the geek squad program to properly download onto the device. I'm pretty disappointed.",Kindle not so cool
2,Poor response. Very sluggish. Even the Amazon app is slow. Not so on my Apple or Droid tablets. I've yet to load any apps.,Sluggish
2,"I had a Nook, but it died so I wanted a replacement, and bought this Fire tablet on black friday last year because it was very inexpensive, but as the old adage goes, you get what you pay for. It's OK for basic web surfing, but it's limited, slow, and has one little speaker on the back so if you lay it on a table you won't be able to hear it very well.","Basic, no frills tablet"
2,"No the best tabler, is loaded with bloatware from amazon.",Not the best tablet
2,"Bought this item with high expectations of its capabilities. It would be extremely lenghty to supply full details, let me just say that technology is not there yet with AI devices like this....",NOT THERE YET.....
2,I feel that Alexa does not know a lot of information. It gets very frustrating.,I feel that Alexa does not know a lot of informati
2,"Purchase the echo with my Vivint system because sales person pushed the product stating it would enhance the Vivint capabilities. Not really so...it's a nice gadget for music and putting together shopping lists and ""to-do"" lists, but not really something we needed. In addition, not enough apps that work with it.",Unnecessary Gadget
2,"Thought we'd have tons of fun with Alexa; found that had to stretch to use it productively. Maybe that's why Amazon puts out a steady stream of ""Here's what's new with Alexa"" emails, a lot of them revolving around buying more stuff from Amazon.",An answer in search of a question
2,"Nice toy but not very useful unless you are controlling a house full of appliances, lights, etc. Also not a fan of Bing which is the search engine the Echo uses.",Not much value as a stand alone device
2,"Please support commands for the Energysmart Water Heater Controller by Iris. Lowes Item# 612026 Model:691121 . Command such as ""alexa turn water heater on"" or ""alexa turn water heater off"" would be nice. It would gave been nice if Amazon has added a command support for this water heater controller by Iris.",Doesn't Support Whirlpool Iris Controller
2,Doesn't answer as many questions as led to believe should have google instead of Bing a simple alarm clock is all I use it for not much good for anything else would have returned it but I like gadgets . Don't recommend purchasing,Nice but only answers a few questions
2,I thought I'd love this but felt like it had very little purpose. Did like it at all.,Not worth the money
2,My wife bought one at Best Buy. I had to go back and get her $40 dollars when the price went from $179 to $139. I decided I would get her one -- but they were out of stock. I ordered one thru Amazon --- but it still hasnt gotten here.,GREAT PRODUCT = IF MINE EVER GETS HERE
2,Bluetooth inaccessible if not connected to Wi-Fi. Device not chargeable hence not portable.,Did NOT meet my expectation!
2,"I bought this to fill my life with music. The first two weeks were fantastic. I got Amazon Music, and needed only to say, ""Alexa, play (insert artist name, song name, or album name)"" and it would play music. The speaker quality is great. 4 days after Christmas it went into a Christmas Music and hymn default. Whatever artist I requested, it would play the first song, and then default to religious music. I'd switch artists and it'd happen again. I contacted Amazon, and was told not to request artists. I needed to specify albums and songs. I don't have this info memorized. I bought it to say artist names. Someone responding to my poor review on Amazon suggested trying different music services. I dumped Amazon music and started requesting music on Pandora. Alexa misunderstood my granddaughters request, and played Christmas music on Pandora, although we were now well into Jan. I'm no longer having the Christmas music problem, but Alexa is just ok playing music from Pandora. Sometimes it gets it right, sometimes not. I am so disappointed in it, that I plug it in when I want to hear music, and unplug it, and ignore it most of the time. When it worked the first two weeks, I raved about it. After witnessing my problems, people who come over don't want one.",Just ok
2,"continually loses connection to the internet. app says it s connected but says check back later. Worked for the first month or so but now works one minute and dumb two minutes later. Constantly asking Alexa, Alexa,;ALEXA!!",dumb and dumber
2,"Expensive speaker. Voice recognition does not work so well. Skill set is extemely limited even though Amazon claims 10,000.",Speaker with minimal voice recognition
2,This device is not as great as advertised. It does not do as many things as expected and you have to go to a lot of trouble to do otherwise,Thought it would be better
2,Thought this would be pretty cool gadget. Not impressed. Poor voice recognition.,Not impressed
2,Not very functional and never had all the answers I needed. And I wanted a device I could make phone calls to anyone with in which the Google home does. We purchased the Google home and we are so glad we did.,Not as smart as Google
2,I don't recommended if you are using Apple products,Hard to understand communication problems
2,go for a google if you want proper answers to any of your questions.!,Worthless
2,"The one thing i had an issue with,is I would leave my amazon speaker on playing since it's always listening. But,at times it would just cut off by itself,without my command. Another issue would be if I'm on the phone and what I'm saying may sound close to the command according to the speaker itself, it would automatically light up for me to command it to do something. Don't know if i like the idea of it listening all the time.",Gets very loud.
2,Could answer weather questions but struggled to answer anything else. Bought it for my father who is blind. Bing search engine terrible.,Bing search engine.
2,"A wonderfully designed device, but its use is fairly limited. I bought it primarily to use as a Smart Home control device. However, although it allows you to turn on and off lights, you cannot add timers to the control instructions. For instance, you cannot tell the Echo to turn off a light in 30 minutes; you can only tell it to turn it off or on immediately. Finding that out was incredible disappointing. I don't know understand why it would be so hard to add such a feature.","No Bluetooth is a bummer, no on/off timers"
2,"I have two Google home devices. They seem to be lacking in smart5 home controls. Now I find out that additional devices are necessary to use Echo in a smarthome configuration. Although currently somewhat limited, I expect that Google home will surpass the Echo with addon smarthome devices. I'll wait, rather then buy these devices twice.",Doesn't do anymore than Google home only different
2,Doesn't understand anything I ask and not very good at answering questions.I am extremely disappointed.,Not very happy
2,"No matter what I asked, either Alexa didn't know the answer, or offered to order an item that I didn't ask for, with a prime membership.Couldn't even get my weather forecast right.Kept giving me the forcast for an area 20 miles away.I returned it.By the way, whatever I ask for from"" ok Google"" I get an answer that is usually 99% correct.Never asks me to pay for a $99 membership or offer to order something online for me.Don't need it. Don't want it.",Useless without prime
2,It is good device with respect to Technology and automating house hold electronics.. But Personally I like Google Home more than Amazone Echo.,Good Device but I did not like it
2,Returned it in 2 days. Digital assistants have a long way to go.,Can't answer any questions
2,"There were many questions unanswered, I think apple Siri is better.",I didn't like it
2,"Many of our questions to her she miss interpreted or replied as not understanding what we were looking for. Distance for her to hear us was minimal. I returned this one and purchased the ""Google"" and this one is much better and more knowledgeable with answers. Both devices recommend using the phone app and also making other purchases for more usage of items that may be available. I didn't expect additional charges and so I'm not to thrilled with either one but I did keep the Google device in hopes of better to come in the future.",Not Knowledgable
2,I thought this product would be a lot better than it is. It is not as smart as they say it is. It has a long way to go.,Disappointed
2,Alexa has a hard time answering. You need to download information online in order to build her data base.,Not the best option.
2,Honestly I see no difference in this and the iPhone.,Good Speaker
2,Concerns about syncing our phones to Echo and difficulty loading music was a deal breaker. Maybe its operator error. Not for us.,Not what we expected.
2,I returned this to the store cuz I realised I didn't need music or lighting control. I replaced it with the echo dot. Disappointed because didn't know I needed wifi which I don't have.,Took back and got the echo dot
2,"So sorry I bought this, had to change its wake up name to echo from Alexa it wouldn't answer to Alexa, on a scale of 1-10 with 1 being terrible I'll rate it a 2 most of the time didn't know how to answer or didn't understand the question, did all the self help and with amazon customer service am ready to return it",Amazon echo referred to as Alexa
2,It's a nice idea if you have a need for such a gadget. My opinion was it wasn't worth the money. Computers and smart phones do mostly the same thing so why have an additional gadget. It might be more worthwhile for someone that wants to use it for running smart gadgets around the house. Not for me so I returned it.,It's a nice idea if you need it
2,I had a hard time trying to work this it could not understand me most of the time everything seem to be hard to work for me.,It was hard for me to work.
